"Year","Species.n","Age","M2"
1974,16,0,1.45715238639868
1974,18,0,0.884204321360374
1974,21,0,0.684303587969175
1974,20,0,0
1974,22,0,1.13689694464013
1974,24,0,1.05007570206292
1974,26,0,0
1974,23,0,0.345198147549853
1974,19,0,0
1974,27,0,0
1974,25,0,0.574226518520633
1974,17,0,0.939272646251467
1975,16,0,1.48238298610624
1975,18,0,0.945214410392068
1975,21,0,0.727606217577051
1975,20,0,0
1975,22,0,0.952366845559206
1975,24,0,1.13975202393047
1975,26,0,0
1975,23,0,0.349525295737283
1975,19,0,0
1975,27,0,0
1975,25,0,0.625434551458228
1975,17,0,0.96583847498303
1976,16,0,1.82483641611134
1976,18,0,1.17100206662816
1976,21,0,0.677053054270676
1976,20,0,0
1976,22,0,0.796721408236139
1976,24,0,1.04196923467071
1976,26,0,0
1976,23,0,0.365387800005729
1976,19,0,0
1976,27,0,0
1976,25,0,0.888897847093331
1976,17,0,1.13600586656008
1977,16,0,1.84814863500402
1977,18,0,1.20676886737976
1977,21,0,0.625970859946481
1977,20,0,0
1977,22,0,0.750415763432185
1977,24,0,1.03029105033752
1977,26,0,0
1977,23,0,0.312267080473934
1977,19,0,0
1977,27,0,0
1977,25,0,0.526018116578517
1977,17,0,1.01200195520435
1978,16,0,1.96540014613867
1978,18,0,1.01981364594331
1978,21,0,0.509639094367789
1978,20,0,0
1978,22,0,0.702113691806797
1978,24,0,0.764291370937268
1978,26,0,0
1978,23,0,0.257436756715267
1978,19,0,0
1978,27,0,0
1978,25,0,0.550453695366485
1978,17,0,1.08417703778773
1979,16,0,1.49564795585761
1979,18,0,1.06423389763864
1979,21,0,0.565414033584831
1979,20,0,0
1979,22,0,0.835388210703917
1979,24,0,0.789045530369324
1979,26,0,0
1979,23,0,0.281716340316881
1979,19,0,0
1979,27,0,0
1979,25,0,0.703739499989479
1979,17,0,0.862805923927287
1980,16,0,2.18858553656499
1980,18,0,1.39840499752673
1980,21,0,0.728483001524564
1980,20,0,0
1980,22,0,0.986527736468371
1980,24,0,1.10511649688511
1980,26,0,0
1980,23,0,0.333892989839192
1980,19,0,0
1980,27,0,0
1980,25,0,0.843867161090342
1980,17,0,1.33406126401632
1981,16,0,2.33087546474643
1981,18,0,1.37007530047427
1981,21,0,0.69209481057736
1981,20,0,0
1981,22,0,0.984384002085368
1981,24,0,1.04209621877909
1981,26,0,0
1981,23,0,0.357981801137671
1981,19,0,0
1981,27,0,0
1981,25,0,0.755543999958984
1981,17,0,1.40722200806244
1982,16,0,2.00698172099517
1982,18,0,1.30800325492894
1982,21,0,0.740560573477424
1982,20,0,0
1982,22,0,1.02466373749747
1982,24,0,0.984283603576841
1982,26,0,0
1982,23,0,0.365122533674218
1982,19,0,0
1982,27,0,0
1982,25,0,0.684433146117503
1982,17,0,1.37242174168345
1983,16,0,1.62351453065358
1983,18,0,1.051407796719
1983,21,0,0.691280821963556
1983,20,0,0
1983,22,0,0.899185031930234
1983,24,0,0.866829763556552
1983,26,0,0
1983,23,0,0.343435870893564
1983,19,0,0
1983,27,0,0
1983,25,0,0.60082185374176
1983,17,0,1.11946917140992
1984,16,0,2.25592876679589
1984,18,0,1.35272832752538
1984,21,0,0.775085004316648
1984,20,0,0
1984,22,0,0.71461649463742
1984,24,0,1.06247292819904
1984,26,0,0
1984,23,0,0.391196288776912
1984,19,0,0
1984,27,0,0
1984,25,0,0.800479182225834
1984,17,0,1.45799369593891
1985,16,0,1.53907442550875
1985,18,0,1.27982988354603
1985,21,0,0.744946348251761
1985,20,0,0
1985,22,0,0.602318294722376
1985,24,0,1.07882827507923
1985,26,0,0
1985,23,0,0.36765796863003
1985,19,0,0
1985,27,0,0
1985,25,0,0.841526617363966
1985,17,0,1.12869370393572
1986,16,0,1.81964351698538
1986,18,0,1.31040205759931
1986,21,0,0.729710396310631
1986,20,0,0
1986,22,0,0.933144561634074
1986,24,0,1.11632189019535
1986,26,0,0
1986,23,0,0.401994359734481
1986,19,0,0
1986,27,0,0
1986,25,0,0.906491492260544
1986,17,0,1.19083613358144
1987,16,0,1.87840705471832
1987,18,0,1.26720967777817
1987,21,0,0.869515750365943
1987,20,0,0
1987,22,0,0.832455008091507
1987,24,0,1.45432281154306
1987,26,0,0
1987,23,0,0.502897012922197
1987,19,0,0
1987,27,0,0
1987,25,0,0.887264277463431
1987,17,0,1.43303612411249
1988,16,0,1.35153325156425
1988,18,0,1.06427188455561
1988,21,0,0.795645708713944
1988,20,0,0
1988,22,0,1.03564786267002
1988,24,0,1.11153723295023
1988,26,0,0
1988,23,0,0.424022137157615
1988,19,0,0
1988,27,0,0
1988,25,0,0.998855732046636
1988,17,0,1.03788423833557
1989,16,0,1.57985117911229
1989,18,0,1.1701837513136
1989,21,0,0.838642449205537
1989,20,0,0
1989,22,0,0.829838977047093
1989,24,0,1.13690165040917
1989,26,0,0
1989,23,0,0.417915671853231
1989,19,0,0
1989,27,0,0
1989,25,0,1.02903458764122
1989,17,0,1.43558175434584
1990,16,0,1.81679027116087
1990,18,0,1.21677580420079
1990,21,0,0.801401623453952
1990,20,0,0
1990,22,0,0.841909661277329
1990,24,0,1.00280522391837
1990,26,0,0
1990,23,0,0.405878695379224
1990,19,0,0
1990,27,0,0
1990,25,0,0.877122186945342
1990,17,0,1.3758254895325
1991,16,0,1.65719435249736
1991,18,0,1.05276679095725
1991,21,0,0.805915413265725
1991,20,0,0
1991,22,0,1.20435368977543
1991,24,0,0.960662543136749
1991,26,0,0
1991,23,0,0.421346487768411
1991,19,0,0
1991,27,0,0
1991,25,0,0.623241304961885
1991,17,0,1.27560577116312
1992,16,0,1.79917251883792
1992,18,0,0.989366645043133
1992,21,0,0.722049098254138
1992,20,0,0
1992,22,0,0.840172172032949
1992,24,0,1.22700882480872
1992,26,0,0
1992,23,0,0.410762568220828
1992,19,0,0
1992,27,0,0
1992,25,0,0.658863339845018
1992,17,0,1.30940522111698
1993,16,0,1.6599552311137
1993,18,0,0.881834845817127
1993,21,0,0.666650187081147
1993,20,0,0
1993,22,0,1.23622299451356
1993,24,0,1.11802505580877
1993,26,0,0
1993,23,0,0.353911636404189
1993,19,0,0
1993,27,0,0
1993,25,0,0.598400865148396
1993,17,0,1.34006767559272
1994,16,0,1.75305294934884
1994,18,0,0.887998100133076
1994,21,0,0.640106475769816
1994,20,0,0
1994,22,0,1.13988803632476
1994,24,0,0.863634926860349
1994,26,0,0
1994,23,0,0.324451718973693
1994,19,0,0
1994,27,0,0
1994,25,0,0.549307444479399
1994,17,0,1.21513097776297
1995,16,0,1.96141558746689
1995,18,0,1.24155485536431
1995,21,0,0.784100120669975
1995,20,0,0
1995,22,0,1.00378506358698
1995,24,0,1.19552535703147
1995,26,0,0
1995,23,0,0.398290521114589
1995,19,0,0
1995,27,0,0
1995,25,0,0.877731078573125
1995,17,0,1.50277265993974
1996,16,0,1.67509060645831
1996,18,0,1.02076635783007
1996,21,0,0.663871210852532
1996,20,0,0
1996,22,0,0.78168499478524
1996,24,0,0.842362703087703
1996,26,0,0
1996,23,0,0.330366097338022
1996,19,0,0
1996,27,0,0
1996,25,0,0.58915010344334
1996,17,0,1.46646286480763
1997,16,0,2.32489680099364
1997,18,0,1.14541384244692
1997,21,0,0.75691073731663
1997,20,0,0
1997,22,0,1.05803586515496
1997,24,0,0.997324924298543
1997,26,0,0
1997,23,0,0.379963660973834
1997,19,0,0
1997,27,0,0
1997,25,0,0.739050418370564
1997,17,0,1.57507413885582
1998,16,0,2.21519368504606
1998,18,0,1.1587586642418
1998,21,0,0.751870717534645
1998,20,0,0
1998,22,0,0.90938799824739
1998,24,0,1.04147328891621
1998,26,0,0
1998,23,0,0.403733972306281
1998,19,0,0
1998,27,0,0
1998,25,0,0.628977627406332
1998,17,0,1.50378114995957
1999,16,0,2.22883612832863
1999,18,0,0.70595428379956
1999,21,0,0.672062302155588
1999,20,0,0
1999,22,0,0.486546887537953
1999,24,0,0.799611151958823
1999,26,0,0
1999,23,0,0.355703165445908
1999,19,0,0
1999,27,0,0
1999,25,0,0.680817220031154
1999,17,0,1.50260053739558
2000,16,0,2.14502235117233
2000,18,0,1.08079360104098
2000,21,0,0.714325131416136
2000,20,0,0
2000,22,0,1.00291564691233
2000,24,0,1.05653690388765
2000,26,0,0
2000,23,0,0.371185238063522
2000,19,0,0
2000,27,0,0
2000,25,0,0.539654984645435
2000,17,0,1.52475853849036
2001,16,0,2.24226495740015
2001,18,0,1.28814950134973
2001,21,0,0.680414175657665
2001,20,0,0
2001,22,0,0.915731089537807
2001,24,0,1.19419960364256
2001,26,0,0
2001,23,0,0.362233023210513
2001,19,0,0
2001,27,0,0
2001,25,0,0.696567718832227
2001,17,0,1.5252083207681
2002,16,0,2.57275748713023
2002,18,0,1.30059320712213
2002,21,0,0.755861991148751
2002,20,0,0
2002,22,0,0.955456696430171
2002,24,0,1.22192116589419
2002,26,0,0
2002,23,0,0.375441439815253
2002,19,0,0
2002,27,0,0
2002,25,0,0.570028298944686
2002,17,0,1.92157041637127
2003,16,0,2.5535840862772
2003,18,0,1.26310385597408
2003,21,0,0.815625089397646
2003,20,0,0
2003,22,0,0.912240242971609
2003,24,0,1.16034958945934
2003,26,0,0
2003,23,0,0.439916694819548
2003,19,0,0
2003,27,0,0
2003,25,0,0.622485405340742
2003,17,0,1.9707832908574
2004,16,0,2.47071725741377
2004,18,0,1.39945810636758
2004,21,0,0.746702576259444
2004,20,0,0
2004,22,0,0.891993112859659
2004,24,0,1.24149631460745
2004,26,0,0
2004,23,0,0.370302058044827
2004,19,0,0
2004,27,0,0
2004,25,0,0.602600201619717
2004,17,0,1.90233261754156
2005,16,0,2.42596278463408
2005,18,0,1.11565319542777
2005,21,0,0.79104142267281
2005,20,0,0
2005,22,0,1.14692866579457
2005,24,0,1.05781256247503
2005,26,0,0
2005,23,0,0.411972163502016
2005,19,0,0
2005,27,0,0
2005,25,0,0.580004151229173
2005,17,0,1.95813319214976
2006,16,0,2.57054576924614
2006,18,0,1.21975570063721
2006,21,0,0.839036422654392
2006,20,0,0
2006,22,0,0.935589366557561
2006,24,0,1.12770012757653
2006,26,0,0
2006,23,0,0.439517054451151
2006,19,0,0
2006,27,0,0
2006,25,0,0.727376924958508
2006,17,0,1.94831576170087
2007,16,0,2.64168382213464
2007,18,0,1.10769127688815
2007,21,0,0.858044047450046
2007,20,0,0
2007,22,0,0.926725115822742
2007,24,0,1.13725033131071
2007,26,0,0
2007,23,0,0.471032822619829
2007,19,0,0
2007,27,0,0
2007,25,0,0.725703635031385
2007,17,0,1.85624696945285
2008,16,0,2.66275442464058
2008,18,0,0.987846385590431
2008,21,0,0.831005256130341
2008,20,0,0
2008,22,0,0.886093786281203
