"Year","Species.n","Species","Yield","yield.core","DeadM1","DeadM2","DeadM1.core","DeadM2.core","Fbar","SSB","TSB","Recruits"
1974,16,"Cod",252714,235077,69247.0753470475,136294.645864217,64574.6503390186,126979.99796533,0.720951,182550,409477,6978740
1975,16,"Cod",241132,223411,70987.44912027,145141.07383776,65871.7654879312,134263.995961226,0.754839,169517,406594,4530150
1976,16,"Cod",305329,279228,71216.829551153,207933.97853662,65532.0130354139,191663.732019797,0.824809,152545,435130,14980300
1977,16,"Cod",347182,317798,75875.952064493,223786.802175203,69498.1112186747,205123.863338883,0.809199,123997,420185,9104810
1978,16,"Cod",327061,297112,74760.0082686055,219480.219232096,68076.5796984234,199038.758060783,0.939042,119158,483104,12173400
1979,16,"Cod",428086,384643,77771.0545377665,188434.646651919,70077.6995514267,169082.140173535,0.759279,113966,451516,8293990
1980,16,"Cod",587443,526266,81445.7452275975,214346.627935055,73462.1641537376,190753.152755375,0.882367,127478,473785,9139360
1981,16,"Cod",390754,350786,80002.0644458075,292555.213073252,72059.89668822,258128.597653166,0.875337,132257,509047,24729400
1982,16,"Cod",356376,318222,68267.27109332,204505.803538276,61044.6061269772,178279.757630297,0.945759,124119,418360,9084030
1983,16,"Cod",279032,249094,59224.032805148,177335.861796128,52681.2660289792,152399.900849019,0.951622,107534,385516,9367150
1984,16,"Cod",378275,328907,59898.887542282,180277.803712684,52648.4638824125,152843.718750394,0.882868,94101.3,349207,7590180
1985,16,"Cod",245642,216982,54674.9087623655,151524.291100576,48153.2239307151,128168.280691061,0.891861,96999.8,361574,8064750
1986,16,"Cod",339692,287510,52257.6482291155,148876.861588295,44854.8054022743,121900.981290259,0.963442,83992.4,295779,5613490
1987,16,"Cod",243840,212730,51257.176434046,133948.707569965,44282.8220224439,110486.445017858,0.961066,86128.2,342417,4885550
1988,16,"Cod",193767,169043,42363.0664729805,103670.267753653,36424.5731587654,83773.4328216149,0.939335,83796.1,275364,4195570
1989,16,"Cod",201155,169842,38839.5811348845,106478.726549776,32790.9236589885,83426.0064047321,0.981233,77632.9,234636,3269510
1990,16,"Cod",151592,130559,35538.7590565295,104121.560711196,30126.6967453959,81761.2672806063,0.910349,75094.8,236768,4040990
1991,16,"Cod",119678,102326,30889.0769073005,95342.0778362716,25857.2701726661,72730.094672654,0.91162,71299.3,188903,5132850
1992,16,"Cod",148985,122121,33613.055497952,100360.774459915,27375.963004409,74584.9603676767,0.875951,68382.4,196839,3377240
1993,16,"Cod",132900,113211,34363.9958932335,109573.612950693,28305.108777841,82445.4595642525,0.818554,70103.6,211235,5207860
1994,16,"Cod",216500,167183,37678.6850992905,111908.609079215,30062.010426238,79739.6563406934,0.835134,76436,212803,4502730
1995,16,"Cod",198306,164350,39583.128517617,114432.345021648,32054.8583976353,83272.6798193805,0.924948,85618.3,248193,4291380
1996,16,"Cod",142941,121723,34660.0986696637,110392.156337731,27953.26046057,77786.0901402226,0.986684,86911.2,224791,6035270
1997,16,"Cod",135372,108586,37117.0624503925,114553.449809637,28199.7591924687,76165.0408751322,0.893453,74280,201710,3385910
1998,16,"Cod",136757,114378,31444.9260223442,103003.212874017,25459.0027486966,75188.0774717522,0.958943,76464.7,227050,4193760
1999,16,"Cod",95882.7,80962.6,20458.7549476568,83048.6229049057,15989.4500027943,53442.9093669476,1.08268,63243.4,135396,7380050
2000,16,"Cod",77117.6,62597.9,21135.507946885,71069.3669445351,15562.6965433141,46244.9570074804,1.03713,47395.4,121699,2488520
2001,16,"Cod",78723.3,65296.6,20689.7292990517,68417.1663987329,16129.9421863173,47592.6794941998,0.981435,53121.7,141793,2965830
2002,16,"Cod",56581.5,46425.3,16614.2884985586,61766.3912200583,12673.9992848035,39673.221774232,0.893882,45631.2,100878,3919550
2003,16,"Cod",51655.7,43455.3,14443.7892369167,67574.9505432733,11043.5945220225,42957.0295785963,0.903345,43878.7,92129.3,5300860
2004,16,"Cod",40848,33422.2,13743.5849934852,65914.6055332434,10071.1967830263,40841.2251521506,0.825476,36868.1,78082.1,4368400
2005,16,"Cod",36580,29988.5,14430.3046625929,89161.137163639,10570.9443054347,55430.7803977553,0.751308,37735.5,83726,7244690
2006,16,"Cod",37577,29904.6,15984.2506450781,78131.6065008891,11321.9565839072,47637.7775676126,0.799141,40424.7,89791.3,4144370
2007,16,"Cod",54641.2,43409.2,17260.8844647248,78750.9703669397,12935.9267932807,51200.3815680054,0.61812,49736.8,103738,4338770
2008,16,"Cod",51795,42548.2,16429.5193068883,73371.8983829888,12563.6289153365,46052.8299776172,0.692558,56980.7,98134,5280880
2009,16,"Cod",54026.1,44498.7,15740.3957613372,57109.6517331139,12027.0760459359,35658.6253543098,0.722692,56184.8,94602.5,3388820
2010,16,"Cod",49105.7,40647.8,16851.0451290707,60682.4076103381,12627.5080138641,38005.245926371,0.703658,53134.7,94427.9,3068840
2011,16,"Cod",40686.8,33860.9,17627.1804245071,83986.6167601897,13571.6407631748,52879.0312802914,0.582148,58645.6,103933,7007070
2012,16,"Cod",40764,34098.7,17167.9589981557,79533.9956471494,13308.4743041131,48989.6946880673,0.566068,58414.8,95214.5,7682260
2013,16,"Cod",40757.4,34267.8,18646.9018783147,84900.1095605398,14231.9640533047,52753.0274629713,0.534439,57896.8,99302.9,7223360
2014,16,"Cod",45192.4,37413.2,20691.866955412,75551.1163827141,15797.7181333227,48605.9336030785,0.488836,61819.1,113677,4310530
2015,16,"Cod",49899.9,41289.8,21002.5875933844,65250.837821878,16548.3160037692,43249.5830700074,0.486233,69911.8,122281,3871630
2016,16,"Cod",50310.5,42802.5,19305.4835265536,56632.9861503814,15767.595329867,37517.4521347969,0.462776,71368.9,110852,4563460
2017,16,"Cod",46368.7,39919.1,18989.2298469903,42639.9130947725,15220.9606236181,27621.4359904157,0.500756,66112.8,101659,1731490
2018,16,"Cod",47904.1,40579.7,15858.2932344998,50224.2461000408,12616.4822470668,33597.6107266485,0.666424,64414.8,105497,2965870
2019,16,"Cod",35920.4,30783.7,15483.2454244461,46815.9086921894,12104.0909912275,30958.1811481834,0.549791,46886.4,77999.5,3655180
1974,17,"Whiting",323103,290793,97911.7009924957,595184.218045618,88120.5308932461,535665.796241057,0.876049,395817,544677,42841800
1975,17,"Whiting",276575,248917,107827.039288542,600259.425587761,97044.3353596876,540233.483028985,0.889602,306527,571108,38338300
1976,17,"Whiting",326266,293639,112326.905638518,701062.683918962,101094.215074667,630956.415527066,0.959523,402187,662818,40360500
1977,17,"Whiting",289854,260868,103957.217600432,547542.313185164,93561.4958403889,492788.081866648,0.700922,383817,582908,33585700
1978,17,"Whiting",188195,169375,103220.913861259,616026.847765038,92898.8224751327,554424.162988534,0.627292,378490,604648,34100700
1979,17,"Whiting",243608,219247,108613.340682387,459211.488159219,97752.0066141481,413290.339343297,0.69644,382384,605583,25866000
1980,17,"Whiting",223322,200990,104614.882119553,444097.429252553,94153.3939075974,399687.686327298,0.739185,395640,611587,20233900
1981,17,"Whiting",192184,172965,87158.5898020555,567633.442395729,78442.73082185,510870.098156156,0.635308,405994,546728,33311500
