"Year","Quarter","Species.n","Species","Age","M","M1","M2","Z","N","Nbar","west","C.obs","C.hat","weca","SSB","BIO","propmat","Lsea","consum","deadM2","deadM1","deadM"
1974,1,16,"Cod",1,0.2749,0.05,0.372462,0.49701,814873,642135,0.0519,0,47869.7,0.304,427.148,42291.9,0.0101,153,0.0880281,12412.969002603,1666.340325,9161.53910685
1974,1,16,"Cod",2,0.1606,0.05,0.155157,0.397641,180973,149322,0.576,0,28742.1,0.901,5451.77,104240,0.0523,329,0.583633,13344.971647104,4300.4736,13813.1212032
1974,1,16,"Cod",3,0.0533,0.05,0.00656514,0.255688,27664,24410.5,1.5787,0,4860.69,2.206,10009.9,43673.2,0.2292,496,1.28911,252.999857097639,1926.8428175,2054.014443455
1974,1,16,"Cod",4,0.0499,0.05,0,0.217225,35476.9,31888.1,3.24419,0,5332.51,4.156,70748.1,115094,0.6147,702,2.27059,0,5172.55275695,5162.2076514361
1974,1,16,"Cod",5,0.05,0.05,0,0.201228,10546.2,9552.85,5.24525,0,1444.66,6.174,47053.1,55317.5,0.8506,830,3.31235,0,2505.354323125,2505.354323125
1974,1,16,"Cod",6,0.05,0.05,0,0.202523,2226.36,2015.39,7.82621,0,307.393,8.333,17423.9,17423.9,1,937,4.53652,0,788.643268595,788.643268595
1974,1,16,"Cod",7,0.05,0.05,0,0.209045,990.95,894.229,8.78805,0,142.223,9.889,8708.52,8708.52,1,989,4.96922,0,392.9264581725,392.9264581725
1974,1,16,"Cod",8,0.05,0.05,0,0.202046,936.023,847.522,10.3177,0,128.863,10.791,9657.61,9657.61,1,1031,5.63717,0,437.22388697,437.22388697
1974,1,16,"Cod",9,0.05,0.05,0,0.216529,573.993,516.102,11.7651,0,85.9462,12.175,6753.11,6753.11,1,1041,6.24988,0,303.59958201,303.59958201
1974,1,16,"Cod",10,0.05,0.05,0,0.216529,485.121,436.194,13.0215,0,72.639,13.3397,6316.99,6316.99,1,1159,6.76866,0,283.99500855,283.99500855
1974,2,16,"Cod",1,0.2749,0.05,0.276673,0.40122,495725,408344,0.116,0,30441.1,0.304,580.792,57504.1,0.0101,194,0.222973,13105.420103392,2368.3952,13021.4368096
1974,2,16,"Cod",2,0.1606,0.05,0.157914,0.400399,121596,100201,0.682,0,19287.1,0.901,4337.17,82928.7,0.0523,357,0.897232,10791.381966948,3416.8541,10974.9353692
1974,2,16,"Cod",3,0.0533,0.05,0.00346648,0.25259,21422.6,18931.1,2.09099,0,3769.62,2.206,10266.9,44794.5,0.2292,552,2.16433,137.219712250253,1979.23703945,2109.8666840537
