"Year","Quarter","Species.n","Species","Age","N","Nbar","west","BIO","Lsea","consum"
1974,1,1,"Fulmar",1,1397,1397,5,6985,500,34.42
1974,2,1,"Fulmar",1,1832,1832,5,9160,500,28.72
1974,3,1,"Fulmar",1,2290,2290,5,11450,500,27.091
1974,4,1,"Fulmar",1,2139,2139,5,10695,500,34.42
1975,1,1,"Fulmar",1,1427,1427,5,7135,500,34.42
1975,2,1,"Fulmar",1,1870,1870,5,9350,500,28.72
1975,3,1,"Fulmar",1,2338,2338,5,11690,500,27.091
1975,4,1,"Fulmar",1,2184,2184,5,10920,500,34.42
1976,1,1,"Fulmar",1,1451,1451,5,7255,500,34.42
1976,2,1,"Fulmar",1,1902,1902,5,9510,500,28.72
1976,3,1,"Fulmar",1,2378,2378,5,11890,500,27.091
1976,4,1,"Fulmar",1,2221,2221,5,11105,500,34.42
1977,1,1,"Fulmar",1,1471,1471,5,7355,500,34.42
1977,2,1,"Fulmar",1,1928,1928,5,9640,500,28.72
1977,3,1,"Fulmar",1,2411,2411,5,12055,500,27.091
1977,4,1,"Fulmar",1,2252,2252,5,11260,500,34.42
1978,1,1,"Fulmar",1,1487,1487,5,7435,500,34.42
1978,2,1,"Fulmar",1,1950,1950,5,9750,500,28.72
1978,3,1,"Fulmar",1,2438,2438,5,12190,500,27.091
1978,4,1,"Fulmar",1,2277,2277,5,11385,500,34.42
1979,1,1,"Fulmar",1,1501,1501,5,7505,500,34.42
1979,2,1,"Fulmar",1,1967,1967,5,9835,500,28.72
1979,3,1,"Fulmar",1,2460,2460,5,12300,500,27.091
1979,4,1,"Fulmar",1,2297,2297,5,11485,500,34.42
1980,1,1,"Fulmar",1,1512,1512,5,7560,500,34.42
1980,2,1,"Fulmar",1,1981,1981,5,9905,500,28.72
1980,3,1,"Fulmar",1,2477,2477,5,12385,500,27.091
1980,4,1,"Fulmar",1,2314,2314,5,11570,500,34.42
1981,1,1,"Fulmar",1,1520,1520,5,7600,500,34.42
1981,2,1,"Fulmar",1,1993,1993,5,9965,500,28.72
1981,3,1,"Fulmar",1,2492,2492,5,12460,500,27.091
1981,4,1,"Fulmar",1,2328,2328,5,11640,500,34.42
1982,1,1,"Fulmar",1,1528,1528,5,7640,500,34.42
1982,2,1,"Fulmar",1,2002,2002,5,10010,500,28.72
1982,3,1,"Fulmar",1,2504,2504,5,12520,500,27.091
1982,4,1,"Fulmar",1,2339,2339,5,11695,500,34.42
1983,1,1,"Fulmar",1,1533,1533,5,7665,500,34.42
1983,2,1,"Fulmar",1,2010,2010,5,10050,500,28.72
1983,3,1,"Fulmar",1,2513,2513,5,12565,500,27.091
1983,4,1,"Fulmar",1,2347,2347,5,11735,500,34.42
1984,1,1,"Fulmar",1,1538,1538,5,7690,500,34.42
1984,2,1,"Fulmar",1,2016,2016,5,10080,500,28.72
1984,3,1,"Fulmar",1,2521,2521,5,12605,500,27.091
1984,4,1,"Fulmar",1,2355,2355,5,11775,500,34.42
1985,1,1,"Fulmar",1,1542,1542,5,7710,500,34.42
1985,2,1,"Fulmar",1,2021,2021,5,10105,500,28.72
1985,3,1,"Fulmar",1,2527,2527,5,12635,500,27.091
1985,4,1,"Fulmar",1,2360,2360,5,11800,500,34.42
1986,1,1,"Fulmar",1,1535,1535,5,7675,500,34.42
1986,2,1,"Fulmar",1,2013,2013,5,10065,500,28.72
1986,3,1,"Fulmar",1,2516,2516,5,12580,500,27.091
1986,4,1,"Fulmar",1,2350,2350,5,11750,500,34.42
1987,1,1,"Fulmar",1,1527,1527,5,7635,500,34.42
1987,2,1,"Fulmar",1,2002,2002,5,10010,500,28.72
1987,3,1,"Fulmar",1,2502,2502,5,12510,500,27.091
1987,4,1,"Fulmar",1,2335,2335,5,11675,500,34.42
1988,1,1,"Fulmar",1,1514,1514,5,7570,500,34.42
1988,2,1,"Fulmar",1,1986,1986,5,9930,500,28.72
1988,3,1,"Fulmar",1,2481,2481,5,12405,500,27.091
1988,4,1,"Fulmar",1,2313,2313,5,11565,500,34.42
1989,1,1,"Fulmar",1,1497,1497,5,7485,500,34.42
1989,2,1,"Fulmar",1,1965,1965,5,9825,500,28.72
1989,3,1,"Fulmar",1,2453,2453,5,12265,500,27.091
1989,4,1,"Fulmar",1,2283,2283,5,11415,500,34.42
1990,1,1,"Fulmar",1,1473,1473,5,7365,500,34.42
1990,2,1,"Fulmar",1,1936,1936,5,9680,500,28.72
1990,3,1,"Fulmar",1,2413,2413,5,12065,500,27.091
1990,4,1,"Fulmar",1,2239,2239,5,11195,500,34.42
1991,1,1,"Fulmar",1,1440,1440,5,7200,500,34.42
1991,2,1,"Fulmar",1,1896,1896,5,9480,500,28.72
1991,3,1,"Fulmar",1,2358,2358,5,11790,500,27.091
1991,4,1,"Fulmar",1,2179,2179,5,10895,500,34.42
1992,1,1,"Fulmar",1,1395,1395,5,6975,500,34.42
1992,2,1,"Fulmar",1,1843,1843,5,9215,500,28.72
1992,3,1,"Fulmar",1,2284,2284,5,11420,500,27.091
1992,4,1,"Fulmar",1,2095,2095,5,10475,500,34.42
1993,1,1,"Fulmar",1,1335,1335,5,6675,500,34.42
1993,2,1,"Fulmar",1,1771,1771,5,8855,500,28.72
1993,3,1,"Fulmar",1,2184,2184,5,10920,500,27.091
1993,4,1,"Fulmar",1,1982,1982,5,9910,500,34.42
1994,1,1,"Fulmar",1,1256,1256,5,6280,500,34.42
1994,2,1,"Fulmar",1,1678,1678,5,8390,500,28.72
1994,3,1,"Fulmar",1,2054,2054,5,10270,500,27.091
1994,4,1,"Fulmar",1,1833,1833,5,9165,500,34.42
1995,1,1,"Fulmar",1,1156,1156,5,5780,500,34.42
1995,2,1,"Fulmar",1,1560,1560,5,7800,500,28.72
1995,3,1,"Fulmar",1,1888,1888,5,9440,500,27.091
1995,4,1,"Fulmar",1,1645,1645,5,8225,500,34.42
1996,1,1,"Fulmar",1,1085,1085,5,5425,500,34.42
1996,2,1,"Fulmar",1,1484,1484,5,7420,500,28.72
1996,3,1,"Fulmar",1,1769,1769,5,8845,500,27.091
1996,4,1,"Fulmar",1,1489,1489,5,7445,500,34.42
1997,1,1,"Fulmar",1,1023,1023,5,5115,500,34.42
1997,2,1,"Fulmar",1,1427,1427,5,7135,500,28.72
1997,3,1,"Fulmar",1,1664,1664,5,8320,500,27.091
1997,4,1,"Fulmar",1,1336,1336,5,6680,500,34.42
1998,1,1,"Fulmar",1,972,972,5,4860,500,34.42
1998,2,1,"Fulmar",1,1355,1355,5,6775,500,28.72
1998,3,1,"Fulmar",1,1581,1581,5,7905,500,27.091
1998,4,1,"Fulmar",1,1269,1269,5,6345,500,34.42
1999,1,1,"Fulmar",1,921,921,5,4605,500,34.42
1999,2,1,"Fulmar",1,1284,1284,5,6420,500,28.72
1999,3,1,"Fulmar",1,1498,1498,5,7490,500,27.091
1999,4,1,"Fulmar",1,1203,1203,5,6015,500,34.42
2000,1,1,"Fulmar",1,871,871,5,4355,500,34.42
2000,2,1,"Fulmar",1,1214,1214,5,6070,500,28.72
2000,3,1,"Fulmar",1,1416,1416,5,7080,500,27.091
2000,4,1,"Fulmar",1,1137,1137,5,5685,500,34.42
2001,1,1,"Fulmar",1,865,865,5,4325,500,34.42
2001,2,1,"Fulmar",1,1205,1205,5,6025,500,28.72
2001,3,1,"Fulmar",1,1406,1406,5,7030,500,27.091
2001,4,1,"Fulmar",1,1129,1129,5,5645,500,34.42
2002,1,1,"Fulmar",1,858,858,5,4290,500,34.42
2002,2,1,"Fulmar",1,1197,1197,5,5985,500,28.72
2002,3,1,"Fulmar",1,1396,1396,5,6980,500,27.091
2002,4,1,"Fulmar",1,1121,1121,5,5605,500,34.42
2003,1,1,"Fulmar",1,852,852,5,4260,500,34.42
2003,2,1,"Fulmar",1,1188,1188,5,5940,500,28.72
2003,3,1,"Fulmar",1,1385,1385,5,6925,500,27.091
2003,4,1,"Fulmar",1,1112,1112,5,5560,500,34.42
2004,1,1,"Fulmar",1,814,814,5,4070,500,34.42
2004,2,1,"Fulmar",1,1152,1152,5,5760,500,28.72
2004,3,1,"Fulmar",1,1351,1351,5,6755,500,27.091
2004,4,1,"Fulmar",1,1068,1068,5,5340,500,34.42
2005,1,1,"Fulmar",1,777,777,5,3885,500,34.42
2005,2,1,"Fulmar",1,1115,1115,5,5575,500,28.72
2005,3,1,"Fulmar",1,1317,1317,5,6585,500,27.091
2005,4,1,"Fulmar",1,1023,1023,5,5115,500,34.42
2006,1,1,"Fulmar",1,739,739,5,3695,500,34.42
