Year Species.n yield CWsum CWsum.core Fbar.anno Fbar SSB TSB recruit value
2087 16 121499 121499 102090 0.548653 0.549791 158649 268463 6.26607e+06 369069
2087 17 49496.7 49496.7 44547 0.244648 0.24572 221439 280527 1.70898e+07 55359.3
2087 18 60960.4 60960.4 53645.2 0.235668 0.236765 182226 300349 4.39933e+06 80524.2
2087 19 117383 117383 106819 0.370335 0.370335 238660 455526 181064 187652
2087 20 605397 605397 81300.4 0.19626 0.196276 3.18606e+06 3.88596e+06 4.21744e+06 610743
2087 21 360308 360308 360308 0.211933 0.219223 1.48518e+06 1.83609e+06 2.33012e+07 119054
2087 22 139370 139370 139370 0.164979 0.15249 450782 1.12325e+06 2.61308e+08 27874
2087 23 188476 188476 188476 0.273341 0.24359 387710 883847 2.27835e+08 37695.1
2087 24 32107.4 32107.4 32107.4 0.227752 0.43544 125682 313324 9.20422e+07 6421.47
2087 25 72374.2 72374.2 70203 0.298109 0.380962 167900 267290 1.00865e+08 14474.8
2087 26 144079 144079 144079 0.274719 0.274741 450883 545124 1.0605e+06 227420
2087 27 13021.1 13021.1 13021.1 0.299271 0.299295 37787.5 47180.6 105550 138951
