"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Sea birds",1974,1,"Cod",8,4375.24742300894
"Sea birds",1975,1,"Cod",8,5359.12003562551
"Sea birds",1976,1,"Cod",8,7124.31923957781
"Sea birds",1977,1,"Cod",8,7895.15924224544
"Sea birds",1978,1,"Cod",8,6959.41937296963
"Sea birds",1979,1,"Cod",8,5981.84104403299
"Sea birds",1980,1,"Cod",8,9059.18994371527
"Sea birds",1981,1,"Cod",8,8170.15247000352
"Sea birds",1982,1,"Cod",8,7769.77992100687
"Sea birds",1983,1,"Cod",8,5788.6309776742
"Sea birds",1984,1,"Cod",8,6818.25232631611
"Sea birds",1985,1,"Cod",8,4628.17664442146
"Sea birds",1986,1,"Cod",8,6005.41565326952
"Sea birds",1987,1,"Cod",8,3923.89492975096
"Sea birds",1988,1,"Cod",8,3038.50393876497
"Sea birds",1989,1,"Cod",8,3614.36664458222
"Sea birds",1990,1,"Cod",8,2653.82770730637
"Sea birds",1991,1,"Cod",8,3019.35252535392
"Sea birds",1992,1,"Cod",8,2912.60903279915
"Sea birds",1993,1,"Cod",8,2181.91670760874
"Sea birds",1994,1,"Cod",8,2542.90443087117
"Sea birds",1995,1,"Cod",8,2385.83622174556
"Sea birds",1996,1,"Cod",8,2034.88408569625
"Sea birds",1997,1,"Cod",8,2834.02743352588
"Sea birds",1998,1,"Cod",8,1140.4892830113
"Sea birds",1999,1,"Cod",8,1535.06849704875
"Sea birds",2000,1,"Cod",8,1688.82395080763
"Sea birds",2001,1,"Cod",8,977.757990539071
"Sea birds",2002,1,"Cod",8,1010.46566709665
"Sea birds",2003,1,"Cod",8,1069.80603818184
"Sea birds",2004,1,"Cod",8,1250.19092729654
"Sea birds",2005,1,"Cod",8,1435.43786493072
"Sea birds",2006,1,"Cod",8,1605.75339880614
"Sea birds",2007,1,"Cod",8,1003.98010426742
"Sea birds",2008,1,"Cod",8,995.214959929835
"Sea birds",2009,1,"Cod",8,869.313407416129
"Sea birds",2010,1,"Cod",8,1066.56006986708
"Sea birds",2011,1,"Cod",8,1001.26773252344
"Sea birds",2012,1,"Cod",8,1168.54793299879
"Sea birds",2013,1,"Cod",8,1485.78964136636
"Sea birds",2014,1,"Cod",8,1077.01002219029
"Sea birds",2015,1,"Cod",8,679.848391354407
"Sea birds",2016,1,"Cod",8,676.890184118299
"Sea birds",2017,1,"Cod",8,1023.9399119272
"Sea birds",2018,1,"Cod",8,406.578015487995
"Sea birds",2019,1,"Cod",8,861.136171194817
"Grey gurnard",1974,3,"Cod",8,24627.8038311936
"Grey gurnard",1975,3,"Cod",8,11178.5489671696
"Grey gurnard",1976,3,"Cod",8,41106.6031564867
"Grey gurnard",1977,3,"Cod",8,5767.13892263407
"Grey gurnard",1978,3,"Cod",8,45384.7124155764
"Grey gurnard",1979,3,"Cod",8,1283.73123777046
"Grey gurnard",1980,3,"Cod",8,4037.37282072927
"Grey gurnard",1981,3,"Cod",8,105136.19581449
"Grey gurnard",1982,3,"Cod",8,25604.5669568957
"Grey gurnard",1983,3,"Cod",8,19733.7513659879
"Grey gurnard",1984,3,"Cod",8,30913.0034852359
"Grey gurnard",1985,3,"Cod",8,8850.25362962941
"Grey gurnard",1986,3,"Cod",8,12494.0649003487
"Grey gurnard",1987,3,"Cod",8,6744.27651924
"Grey gurnard",1988,3,"Cod",8,3616.93898274852
"Grey gurnard",1989,3,"Cod",8,6744.98479966834
"Grey gurnard",1990,3,"Cod",8,10497.5036388976
"Grey gurnard",1991,3,"Cod",8,11821.2929174597
"Grey gurnard",1992,3,"Cod",8,12027.2658784369
"Grey gurnard",1993,3,"Cod",8,16952.047318137
"Grey gurnard",1994,3,"Cod",8,18642.7261814649
"Grey gurnard",1995,3,"Cod",8,17098.6271575548
"Grey gurnard",1996,3,"Cod",8,22391.9761171192
"Grey gurnard",1997,3,"Cod",8,17012.970076726
"Grey gurnard",1998,3,"Cod",8,21710.7191852699
"Grey gurnard",1999,3,"Cod",8,40667.9301153216
"Grey gurnard",2000,3,"Cod",8,12848.7476816097
"Grey gurnard",2001,3,"Cod",8,15974.2430541221
"Grey gurnard",2002,3,"Cod",8,20656.0161399501
