"Year","Species.n","Age","M2"
1974,2,0,0.412518343218463
1974,3,0,0.318320665768169
1975,2,0,0.345059766359116
1975,3,0,0.232608961914793
1976,2,0,0.337244063146461
1976,3,0,0.237130595522285
1977,2,0,0.476931707899414
1977,3,0,0.384374677843971
1978,2,0,0.676842431102981
1978,3,0,0.495929302463359
1979,2,0,0.762098040012322
1979,3,0,0.492878072019417
1980,2,0,0.655891681549591
1980,3,0,0.417130389298796
1981,2,0,0.665623232313709
1981,3,0,0.436571186419293
1982,2,0,0.616479523039709
1982,3,0,0.374507874605803
1983,2,0,0.550904472227686
1983,3,0,0.313910276257516
1984,2,0,0.448578363289556
1984,3,0,0.249828717329032
1985,2,0,0.39721494565272
1985,3,0,0.227819938542445
1986,2,0,0.364904869366138
1986,3,0,0.227478194779987
1987,2,0,0.398097106388976
1987,3,0,0.244152911486706
1988,2,0,0.344241467248719
1988,3,0,0.197207506992809
1989,2,0,0.252612722005276
1989,3,0,0.142715024356679
1990,2,0,0.144807431559261
1990,3,0,0.080020432519765
1991,2,0,0.108697967383306
1991,3,0,0.0664292528865631
1992,2,0,0.140296691293985
1992,3,0,0.0868129930132829
1993,2,0,0.190165379063814
1993,3,0,0.106047801161507
1994,2,0,0.161137764737498
1994,3,0,0.0849279030277377
1995,2,0,0.135255586003464
1995,3,0,0.0696790477446204
1996,2,0,0.111305689695371
1996,3,0,0.0582048221343427
1997,2,0,0.0963774549410399
1997,3,0,0.0529683263238682
1998,2,0,0.120905763140623
1998,3,0,0.0677343053641155
1999,2,0,0.14514252884768
1999,3,0,0.0798073548911948
2000,2,0,0.150657428939508
2000,3,0,0.0745068391326421
2001,2,0,0.16022140268002
2001,3,0,0.0786072259374857
2002,2,0,0.147847931404835
2002,3,0,0.0698367288273701
2003,2,0,0.114732515548332
2003,3,0,0.0536225466572747
2004,2,0,0.142164822973566
2004,3,0,0.0688072192002983
2005,2,0,0.185834122918137
2005,3,0,0.0881521968524494
2006,2,0,0.187896636048666
2006,3,0,0.0893705159616697
2007,2,0,0.201103952983169
2007,3,0,0.0964561946678299
2008,2,0,0.205623684981983
2008,3,0,0.0976248722788938
2009,2,0,0.235709929447617
2009,3,0,0.112299155527691
2010,2,0,0.255290364176443
2010,3,0,0.121052998727879
2011,2,0,0.234464475357739
2011,3,0,0.112146824932938
2012,2,0,0.215004017347868
2012,3,0,0.106562454241384
2013,2,0,0.230900960877992
2013,3,0,0.11613335096059
2014,2,0,0.17600831365598
2014,3,0,0.0868901140533008
2015,2,0,0.159517780609268
2015,3,0,0.0777700295995137
2016,2,0,0.136872801564833
2016,3,0,0.066086629000037
2017,2,0,0.11811574294711
2017,3,0,0.0584226078038686
2018,2,0,0.115528265877183
2018,3,0,0.0583383211339276
2019,2,0,0.0970280784474577
2019,3,0,0.0475732162404587
2020,2,0,0.0928195472050014
2020,3,0,0.0460041791502083
2021,2,0,0.0791374184226147
2021,3,0,0.0382473654726267
1974,2,1,0.34695907742653
1974,3,1,0.5654761270886
1975,2,1,0.394071545499149
1975,3,1,0.576861692892973
1976,2,1,0.325389292257509
1976,3,1,0.430864681591392
1977,2,1,0.373642699568443
1977,3,1,0.626922656793691
1978,2,1,0.601392550327936
1978,3,1,0.974729451809885
1979,2,1,0.784660323301416
1979,3,1,1.08776408674616
1980,2,1,0.801483184562829
1980,3,1,1.08555828558725
1981,2,1,0.714796490487888
1981,3,1,0.945825286731628
1982,2,1,0.732734384955722
1982,3,1,0.941718075866929
1983,2,1,0.64219516191222
1983,3,1,0.67710302451745
1984,2,1,0.535932434580813
1984,3,1,0.530101531424159
1985,2,1,0.443985699822946
1985,3,1,0.441816487182756
1986,2,1,0.398598914230038
1986,3,1,0.459519937465171
1987,2,1,0.405681466525505
1987,3,1,0.463844198648317
1988,2,1,0.415597436660692
1988,3,1,0.434097081853371
1989,2,1,0.330042155228939
1989,3,1,0.32130465639965
1990,2,1,0.189631445103313
1990,3,1,0.173723582380293
1991,2,1,0.130075187022547
1991,3,1,0.132030231487727
1992,2,1,0.137964471527271
1992,3,1,0.147913326515659
1993,2,1,0.19846875170414
1993,3,1,0.182046995975345
1994,2,1,0.207922819657475
