"Year","Species.n","Yield","yield.core","DeadM1","DeadM2","DeadM1.core","DeadM2.core","Fbar","SSB","TSB","Recruits"
1974,2,377003,377003,217741.32362,416550.421616954,217741.32362,416550.421616954,0.236854,2029230,2420200,19573500
1975,2,349685,349685,193079.49266375,426042.553698438,193079.49266375,426042.553698438,0.228751,1845290,2146370,33621300
1976,2,394769,394769,181122.3907025,373996.921545429,181122.3907025,373996.921545429,0.310115,1577680,1978450,24485700
1977,2,270121,270121,174368.9578625,447805.765573585,174368.9578625,447805.765573585,0.220226,1430010,1800520,36261700
1978,2,209750,209750,182663.235,657494.70153034,182663.235,657494.70153034,0.16043,1442640,1867770,38892200
1979,2,225917,225917,199412.55283125,831551.450615074,199412.55283125,831551.450615074,0.153846,1751780,2168000,56360700
1980,2,267906,267906,168232.1828,870233.859457999,168232.1828,870233.859457999,0.24638,1362060,1811140,70609600
1981,2,281710,281710,169303.819905,885196.75171282,169303.819905,885196.75171282,0.278087,1098030,1650550,73526400
1982,2,286530,286530,171435.4320525,821517.631924484,171435.4320525,821517.631924484,0.274767,1293590,1931890,50022400
1983,2,323691,323691,151671.313525,698029.1805936,151671.313525,698029.1805936,0.370849,1193840,1675540,56781300
1984,2,279565,279565,139685.34990625,544652.554036293,139685.34990625,544652.554036293,0.359961,963431,1457400,37669400
1985,2,316330,316330,129908.976067,388849.45069573,129908.976067,388849.45069573,0.335669,1100300,1536020,19550600
1986,2,256813,256813,107994.96411425,315588.252996856,107994.96411425,315588.252996856,0.343201,798357,1053820,37523800
1987,2,222608,222608,120576.82566,293386.937590271,120576.82566,293386.937590271,0.267978,1022440,1408070,15144200
1988,2,252127,252127,104483.59528725,246788.522671227,104483.59528725,246788.522671227,0.31632,837305,1055080,20540600
1989,2,261876,261876,92045.57486925,188890.45781131,92045.57486925,188890.45781131,0.377926,650501,857360,23830000
1990,2,279259,279259,96201.51392375,115084.59584366,96201.51392375,115084.59584366,0.425237,695855,954151,17841800
1991,2,196685,196685,88885.05463525,81357.0052203909,88885.05463525,81357.0052203909,0.384961,617847,854485,21905800
1992,2,187841,187841,101522.99504225,96620.4143826448,101522.99504225,96620.4143826448,0.307021,653397,910467,21367400
1993,2,230306,230306,100061.32204,140290.306063908,100061.32204,140290.306063908,0.36127,729944,992914,18971600
1994,2,241656,241656,96916.445338,138338.095503447,96916.445338,138338.095503447,0.395249,826549,1048350,25236000
1995,2,221653,221653,88743.84812975,115482.206120154,88743.84812975,115482.206120154,0.428074,615956,867208,19999400
