Year Species.n Age M1 M2 M F Z N  
2022 2 0 0.0504474 0.0761793 0.126627 0 0.126627 2.08522e+07 
2022 2 1 0.0980772 0.13489 0.232967 0.064323 0.29729 1.60987e+07 
2022 2 2 0.0986862 0.0731015 0.171788 0.135983 0.307771 6.50768e+06 
2022 2 3 0.0979544 0.0617059 0.15966 0.203351 0.363011 8.20219e+06 
2022 2 4 0.097648 0.0482298 0.145878 0.276752 0.422629 1.95813e+06 
2022 2 5 0.0968087 0.0448283 0.141637 0.394883 0.53652 1.78791e+06 
2022 2 6 0.0967981 0.0386726 0.135471 0.394692 0.530163 720654 
2022 2 7 0.0968841 0.0364002 0.133284 0.394954 0.528238 383303 
2022 2 8 0.0970595 0.0303528 0.127412 0.395528 0.522941 786088 
2023 2 0 0.0504348 0.0740613 0.124496 0 0.124496 2.08522e+07 
2023 2 1 0.0982144 0.12872 0.226935 0.0644114 0.291346 1.54828e+07 
2023 2 2 0.0987515 0.0695789 0.16833 0.136049 0.30438 1.196e+07 
2023 2 3 0.0980057 0.0587128 0.156719 0.203417 0.360135 4.59455e+06 
2023 2 4 0.0976847 0.0458848 0.14357 0.276814 0.420384 5.50686e+06 
2023 2 5 0.0968431 0.0426119 0.139455 0.394966 0.534421 1.19244e+06 
2023 2 6 0.0968303 0.0367124 0.133543 0.394774 0.528316 1.05053e+06 
2023 2 7 0.096913 0.0345388 0.131452 0.395025 0.526477 425673 
2023 2 8 0.0970776 0.0288597 0.125937 0.395565 0.521502 693889 
2024 2 0 0.0504263 0.0726827 0.123109 0 0.123109 2.08522e+07 
2024 2 1 0.0982985 0.124871 0.22317 0.0644659 0.287636 1.55626e+07 
2024 2 2 0.0987906 0.0673961 0.166187 0.136089 0.302275 1.1533e+07 
2024 2 3 0.0980362 0.0568618 0.154898 0.203456 0.358354 8.46193e+06 
2024 2 4 0.0977064 0.0444343 0.142141 0.27685 0.418991 3.08993e+06 
2024 2 5 0.0968634 0.0412426 0.138106 0.395014 0.53312 3.3587e+06 
2024 2 6 0.0968495 0.0355032 0.132353 0.394821 0.527174 701618 
2024 2 7 0.09693 0.0333899 0.13032 0.395067 0.525387 621294 
2024 2 8 0.097088 0.0279371 0.125025 0.395585 0.52061 665034 
2025 2 0 0.0504213 0.0718376 0.122259 0 0.122259 2.08522e+07 
2025 2 1 0.0983475 0.122587 0.220935 0.0644978 0.285432 1.56118e+07 
2025 2 2 0.0988135 0.0660864 0.1649 0.136111 0.301011 1.16115e+07 
2025 2 3 0.0980541 0.05575 0.153804 0.203478 0.357282 8.1705e+06 
2025 2 4 0.0977191 0.0435596 0.141279 0.276871 0.41815 5.69678e+06 
2025 2 5 0.0968753 0.0404178 0.137293 0.395042 0.532335 1.88639e+06 
2025 2 6 0.0968606 0.0347721 0.131633 0.394849 0.526481 1.97792e+06 
2025 2 7 0.09694 0.0326941 0.129634 0.39509 0.524724 415265 
2025 2 8 0.097094 0.0273751 0.124469 0.395596 0.520065 764619 
2026 2 0 0.0504176 0.0712491 0.121667 0 0.121667 2.08522e+07 
2026 2 1 0.0983825 0.120967 0.21935 0.0645205 0.28387 1.56449e+07 
2026 2 2 0.09883 0.0651611 0.163991 0.136128 0.300119 1.16611e+07 
2026 2 3 0.098067 0.0549634 0.15303 0.203495 0.356525 8.23341e+06 
2026 2 4 0.0977283 0.0429425 0.140671 0.276886 0.417557 5.50445e+06 
2026 2 5 0.0968839 0.0398347 0.136719 0.395062 0.531781 3.48011e+06 
2026 2 6 0.0968688 0.0342574 0.131126 0.394869 0.525995 1.11153e+06 
2026 2 7 0.0969473 0.0322029 0.12915 0.395108 0.524258 1.17128e+06 
2026 2 8 0.0970985 0.0269806 0.124079 0.395604 0.519684 701641 
2027 2 0 0.0504162 0.0710174 0.121434 0 0.121434 2.08522e+07 
2027 2 1 0.0983962 0.120336 0.218732 0.0645295 0.283261 1.56618e+07 
2027 2 2 0.0988365 0.0647937 0.16363 0.136135 0.299765 1.16924e+07 
2027 2 3 0.098072 0.0546529 0.152725 0.203501 0.356226 8.27221e+06 
2027 2 4 0.0977319 0.0426962 0.140428 0.276893 0.417321 5.54882e+06 
2027 2 5 0.0968873 0.0396026 0.13649 0.395071 0.531561 3.36371e+06 
2027 2 6 0.096872 0.0340496 0.130922 0.394877 0.525798 2.05121e+06 
2027 2 7 0.0969501 0.0320039 0.128954 0.395115 0.524069 658397 
2027 2 8 0.0971003 0.0268202 0.123921 0.395608 0.519528 1.11409e+06 
2028 2 0 0.0504151 0.0708381 0.121253 0 0.121253 2.08522e+07 
2028 2 1 0.0984065 0.119854 0.218261 0.0645362 0.282797 1.56713e+07 
2028 2 2 0.0988414 0.0645141 0.163355 0.13614 0.299495 1.17088e+07 
2028 2 3 0.0980759 0.0544154 0.152491 0.203506 0.355998 8.29652e+06 
2028 2 4 0.0977347 0.0425087 0.140243 0.276897 0.41714 5.57612e+06 
2028 2 5 0.0968899 0.0394256 0.136316 0.395077 0.531392 3.39147e+06 
2028 2 6 0.0968744 0.0338922 0.130767 0.394883 0.525649 1.98295e+06 
2028 2 7 0.0969524 0.031852 0.128804 0.39512 0.523925 1.21519e+06 
2028 2 8 0.0971016 0.0266983 0.1238 0.39561 0.51941 1.05443e+06 
2029 2 0 0.0504146 0.0707624 0.121177 0 0.121177 2.08522e+07 
2029 2 1 0.0984104 0.119669 0.218079 0.0645387 0.282618 1.56763e+07 
2029 2 2 0.0988433 0.0644021 0.163245 0.136142 0.299387 1.17179e+07 
2029 2 3 0.0980774 0.0543206 0.152398 0.203508 0.355906 8.30927e+06 
2029 2 4 0.0977358 0.0424326 0.140168 0.276899 0.417067 5.59312e+06 
2029 2 5 0.0968909 0.0393541 0.136245 0.395079 0.531324 3.4085e+06 
2029 2 6 0.0968753 0.0338278 0.130703 0.394885 0.525588 1.99949e+06 
2029 2 7 0.0969532 0.031789 0.128742 0.395123 0.523865 1.17485e+06 
2029 2 8 0.0971021 0.0266474 0.12375 0.395611 0.519361 1.35032e+06 
2030 2 0 0.0504142 0.0706996 0.121114 0 0.121114 2.08522e+07 
2030 2 1 0.0984138 0.119506 0.21792 0.0645409 0.282461 1.56794e+07 
2030 2 2 0.0988449 0.0643065 0.163151 0.136143 0.299295 1.17229e+07 
2030 2 3 0.0980787 0.0542394 0.152318 0.20351 0.355828 8.31644e+06 
2030 2 4 0.0977367 0.0423682 0.140105 0.276901 0.417005 5.60211e+06 
2030 2 5 0.0968918 0.0392934 0.136185 0.395081 0.531266 3.41911e+06 
2030 2 6 0.0968762 0.0337736 0.13065 0.394887 0.525537 2.00965e+06 
2030 2 7 0.096954 0.0317366 0.128691 0.395124 0.523815 1.18471e+06 
2030 2 8 0.0971026 0.0266051 0.123708 0.395612 0.51932 1.5024e+06 
2031 2 0 0.050414 0.0706609 0.121075 0 0.121075 2.08522e+07 
2031 2 1 0.0984159 0.119406 0.217822 0.0645423 0.282364 1.56816e+07 
2031 2 2 0.098846 0.0642479 0.163094 0.136144 0.299238 1.17261e+07 
2031 2 3 0.0980794 0.0541897 0.152269 0.203511 0.35578 8.32049e+06 
2031 2 4 0.0977373 0.0423287 0.140066 0.276901 0.416967 5.60721e+06 
2031 2 5 0.0968923 0.0392562 0.136149 0.395083 0.531231 3.42476e+06 
2031 2 6 0.0968767 0.0337404 0.130617 0.394888 0.525505 2.01599e+06 
