Year Species.n yield CWsum CWsum.core DeadM DeadM2 DeadM_core DeadM2_core Fbar.anno Fbar SSB TSB recruit value
2022 2 147597 147597 147597 134788 56807.9 134788 56807.9 0.317419 0.315591 548201 727013 2.08522e+07 44279.2
2023 2 170208 170208 170208 149789 60368.4 149789 60368.4 0.317493 0.315591 648936 845454 2.08522e+07 51062.5
2024 2 195215 195215 195215 159935 62719.4 159935 62719.4 0.317535 0.315591 735780 940420 2.08522e+07 58564.4
2025 2 214286 214286 214286 168346 64326.3 168346 64326.3 0.31756 0.315591 815458 1.01984e+06 2.08522e+07 64285.7
2026 2 233797 233797 233797 173591 65247.6 173591 65247.6 0.317578 0.315591 875922 1.08081e+06 2.08522e+07 70139.2
2027 2 246376 246376 246376 177454 65966 177454 65966 0.317585 0.315591 916114 1.12134e+06 2.08522e+07 73912.8
2028 2 254870 254870 254870 179722 66344 179722 66344 0.317591 0.315591 943436 1.14884e+06 2.08522e+07 76460.9
2029 2 260694 260694 260694 181320 66633.2 181320 66633.2 0.317593 0.315591 962759 1.16826e+06 2.08522e+07 78208.1
2030 2 264290 264290 264290 182279 66787.6 182279 66787.6 0.317595 0.315591 974594 1.18015e+06 2.08522e+07 79287
2031 2 266542 266542 266542 182879 66884.1 182879 66884.1 0.317596 0.315591 982001 1.18759e+06 2.08522e+07 79962.7
2032 2 267949 267949 267949 183253 66944.5 183253 66944.5 0.317597 0.315591 986630 1.19224e+06 2.08522e+07 80384.8
2033 2 268826 268826 268826 183486 66982.2 183486 66982.2 0.317597 0.315591 989519 1.19514e+06 2.08522e+07 80647.9
2034 2 269373 269373 269373 183632 67005.8 183632 67005.8 0.317597 0.315591 991319 1.19695e+06 2.08522e+07 80811.9
2035 2 269713 269713 269713 183722 67020.5 183722 67020.5 0.317597 0.315591 992441 1.19808e+06 2.08522e+07 80914
2036 2 269925 269925 269925 183779 67029.6 183779 67029.6 0.317597 0.315591 993139 1.19878e+06 2.08522e+07 80977.6
2037 2 270057 270057 270057 183814 67035.3 183814 67035.3 0.317598 0.315591 993574 1.19922e+06 2.08522e+07 81017.2
2038 2 270140 270140 270140 183836 67038.8 183836 67038.8 0.317598 0.315591 993845 1.19949e+06 2.08522e+07 81041.9
2039 2 270191 270191 270191 183849 67041 183849 67041 0.317598 0.315591 994014 1.19966e+06 2.08522e+07 81057.3
2040 2 270223 270223 270223 183858 67042.4 183858 67042.4 0.317598 0.315591 994119 1.19977e+06 2.08522e+07 81066.8
2041 2 270243 270243 270243 183863 67043.2 183863 67043.2 0.317598 0.315591 994184 1.19983e+06 2.08522e+07 81072.8
2042 2 270255 270255 270255 183866 67043.8 183866 67043.8 0.317598 0.315591 994225 1.19987e+06 2.08522e+07 81076.5
