Species.n Year Quarter Age    N west consum
1 2022 1  1 107695 0.0036 0.001
1 2022 1  2 347732 0.0202 0.012
1 2022 1  3 156748 0.0515 0.037
1 2022 1  4 187515 0.1107 0.086
1 2022 1  5 83715 0.2 0.168
1 2022 1  6 73798 0.3257 0.362
1 2022 1  7 29175 0.5064 0.592
1 2022 1  8 27775 0.7839 0.944
1 2022 1  9 2683 1.4054 1.787
1 2022 1  10 59 2.2964 3.052
1 2022 1  11 0 3.5472 4.891
1 2022 2  1 36649 0.0036 0
1 2022 2  2 205359 0.022 0.007
1 2022 2  3 159606 0.052 0.02
1 2022 2  4 171350 0.1092 0.046
1 2022 2  5 83096 0.2004 0.09
1 2022 2  6 75317 0.3257 0.181
1 2022 2  7 28468 0.5064 0.296
1 2022 2  8 27745 0.7839 0.473
1 2022 2  9 2804 1.4046 0.894
1 2022 2  10 62 2.2953 1.526
1 2022 2  11 0 3.5462 2.445
1 2022 3  0 -1 -1 0
1 2022 3  1 1.77097e+06 0.0036 0
1 2022 3  2 107857 0.0228 0.007
1 2022 3  3 126578 0.0528 0.02
1 2022 3  4 162273 0.1088 0.045
1 2022 3  5 78480 0.2005 0.09
1 2022 3  6 75714 0.3263 0.105
1 2022 3  7 28276 0.5064 0.171
1 2022 3  8 27556 0.7842 0.273
1 2022 3  9 2902 1.404 0.517
1 2022 3  10 65 2.2944 0.884
1 2022 3  11 0 3.5453 1.416
1 2022 4  0 -1 -1 0
1 2022 4  1 846650 0.0036 0.001
1 2022 4  2 499965 0.0162 0.012
1 2022 4  3 87305 0.0534 0.049
1 2022 4  4 143070 0.1102 0.109
1 2022 4  5 74026 0.2002 0.213
1 2022 4  6 74077 0.3269 0.306
1 2022 4  7 28301 0.5066 0.498
1 2022 4  8 27443 0.7848 0.796
1 2022 4  9 2981 1.4036 1.505
1 2022 4  10 68 2.2936 2.57
1 2022 4  11 0 3.5446 4.118
