Year Quarter Area Predator.no Predator.age Prey.no Prey.age Part.M2
2022 1 1 1 2 2 1 0.00103717
2022 1 1 1 2 3 1 0.000946397
2022 1 1 1 3 2 1 0.00305993
2022 1 1 1 3 3 1 0.00232359
2022 1 1 1 3 3 2 0.000850802
2022 1 1 1 3 3 3 0.000660844
2022 1 1 1 3 3 4 0.000602401
2022 1 1 1 3 3 5 0.00055139
2022 1 1 1 3 3 6 0.000499648
2022 1 1 1 3 3 7 0.000513665
2022 1 1 1 4 2 1 0.0112623
2022 1 1 1 4 2 2 0.00341848
2022 1 1 1 4 2 3 0.00237362
2022 1 1 1 4 2 4 0.00151955
2022 1 1 1 4 2 5 0.0013423
2022 1 1 1 4 2 6 0.00116358
2022 1 1 1 4 3 1 0.00738152
2022 1 1 1 4 3 2 0.00338784
2022 1 1 1 4 3 3 0.00276521
2022 1 1 1 4 3 4 0.00256548
2022 1 1 1 4 3 5 0.00238751
2022 1 1 1 4 3 6 0.00220319
2022 1 1 1 4 3 7 0.00225352
2022 1 1 1 5 2 1 0.0109169
2022 1 1 1 5 2 2 0.00412585
2022 1 1 1 5 2 3 0.00303037
2022 1 1 1 5 2 4 0.00206853
2022 1 1 1 5 2 5 0.00185871
2022 1 1 1 5 2 6 0.00164265
2022 1 1 1 5 2 7 0.00157904
2022 1 1 1 5 2 8 0.00101491
2022 1 1 1 5 3 1 0.00637481
2022 1 1 1 5 3 2 0.00349306
2022 1 1 1 5 3 3 0.00296416
2022 1 1 1 5 3 4 0.00278835
2022 1 1 1 5 3 5 0.0026289
2022 1 1 1 5 3 6 0.00246082
2022 1 1 1 5 3 7 0.00250703
2022 1 1 1 6 2 1 0.0212628
2022 1 1 1 6 2 2 0.00964654
2022 1 1 1 6 2 3 0.00742487
2022 1 1 1 6 2 4 0.00534655
2022 1 1 1 6 2 5 0.00487309
2022 1 1 1 6 2 6 0.00437645
2022 1 1 1 6 2 7 0.00422833
2022 1 1 1 6 2 8 0.00286964
2022 1 1 1 6 3 1 0.0112771
2022 1 1 1 6 3 2 0.00716255
2022 1 1 1 6 3 3 0.00627828
2022 1 1 1 6 3 4 0.00597433
2022 1 1 1 6 3 5 0.00569411
2022 1 1 1 6 3 6 0.00539381
2022 1 1 1 6 3 7 0.00547687
2022 1 1 1 7 2 1 0.013527
2022 1 1 1 7 2 2 0.00722453
2022 1 1 1 7 2 3 0.00579814
2022 1 1 1 7 2 4 0.00437935
2022 1 1 1 7 2 5 0.00404259
2022 1 1 1 7 2 6 0.00368313
2022 1 1 1 7 2 7 0.00357461
2022 1 1 1 7 2 8 0.00254674
2022 1 1 1 7 3 1 0.00658349
2022 1 1 1 7 3 2 0.00477092
2022 1 1 1 7 3 3 0.00430474
2022 1 1 1 7 3 4 0.0041387
2022 1 1 1 7 3 5 0.00398296
2022 1 1 1 7 3 6 0.00381319
2022 1 1 1 7 3 7 0.00386045
2022 1 1 1 8 2 1 0.0196124
2022 1 1 1 8 2 2 0.0123209
2022 1 1 1 8 2 3 0.0103084
2022 1 1 1 8 2 4 0.00816476
2022 1 1 1 8 2 5 0.00763285
2022 1 1 1 8 2 6 0.00705427
2022 1 1 1 8 2 7 0.0068773
2022 1 1 1 8 2 8 0.0051424
2022 1 1 1 8 3 1 0.00876295
2022 1 1 1 8 3 2 0.00724079
2022 1 1 1 8 3 3 0.00672417
2022 1 1 1 8 3 4 0.00653133
2022 1 1 1 8 3 5 0.00634641
2022 1 1 1 8 3 6 0.00614046
2022 1 1 1 8 3 7 0.00619825
2022 1 1 1 9 2 1 0.00324013
2022 1 1 1 9 2 2 0.00252195
2022 1 1 1 9 2 3 0.00222916
2022 1 1 1 9 2 4 0.00187987
2022 1 1 1 9 2 5 0.00178699
2022 1 1 1 9 2 6 0.00168299
2022 1 1 1 9 2 7 0.00165054
2022 1 1 1 9 2 8 0.00131549
2022 1 1 1 9 3 1 0.00129318
2022 1 1 1 9 3 2 0.00127064
2022 1 1 1 9 3 3 0.00122571
2022 1 1 1 9 3 4 0.00120676
2022 1 1 1 9 3 5 0.0011876
2022 1 1 1 9 3 6 0.0011652
2022 1 1 1 9 3 7 0.0011716
2022 1 1 1 10 2 1 0.000107689
2022 1 1 1 10 2 2 0.000100587
2022 1 1 1 10 2 3 9.31636e-05
2022 1 1 1 10 2 4 8.28723e-05
2022 1 1 1 10 2 5 7.99047e-05
2022 1 1 1 10 2 6 7.64726e-05
2022 1 1 1 10 2 7 7.53784e-05
2022 1 1 1 10 2 8 6.34287e-05
2022 1 1 1 10 3 1 3.90441e-05
2022 1 1 1 10 3 2 4.44565e-05
2022 1 1 1 10 3 3 4.42947e-05
2022 1 1 1 10 3 4 4.41141e-05
2022 1 1 1 10 3 5 4.38863e-05
2022 1 1 1 10 3 6 4.35728e-05
2022 1 1 1 10 3 7 4.36669e-05
2022 2 1 1 2 3 1 0.000586742
2022 2 1 1 3 2 1 0.000346595
2022 2 1 1 3 3 1 0.00194373
2022 2 1 1 3 3 2 0.000816848
2022 2 1 1 3 3 3 0.000670426
2022 2 1 1 3 3 4 0.00059374
2022 2 1 1 3 3 5 0.000576627
2022 2 1 1 3 3 7 0.000508063
2022 2 1 1 4 2 1 0.00128406
2022 2 1 1 4 2 2 0.000585638
2022 2 1 1 4 2 3 0.000651438
2022 2 1 1 4 2 4 0.000356585
2022 2 1 1 4 2 5 0.000380445
2022 2 1 1 4 3 1 0.00547659
2022 2 1 1 4 3 2 0.00277404
2022 2 1 1 4 3 3 0.00236525
2022 2 1 1 4 3 4 0.00214301
2022 2 1 1 4 3 5 0.00209255
2022 2 1 1 4 3 6 0.00172941
2022 2 1 1 4 3 7 0.00188694
2022 2 1 1 5 2 1 0.00151903
2022 2 1 1 5 2 2 0.000787826
2022 2 1 1 5 2 3 0.000862164
2022 2 1 1 5 2 4 0.000515677
2022 2 1 1 5 2 5 0.000545183
2022 2 1 1 5 2 6 0.000395702
2022 2 1 1 5 2 7 0.000306318
2022 2 1 1 5 2 8 0.000251783
2022 2 1 1 5 3 1 0.00520279
2022 2 1 1 5 3 2 0.00306065
2022 2 1 1 5 3 3 0.00269055
2022 2 1 1 5 3 4 0.00248268
2022 2 1 1 5 3 5 0.00243477
2022 2 1 1 5 3 6 0.00208154
2022 2 1 1 5 3 7 0.00223667
2022 2 1 1 6 2 1 0.00315565
2022 2 1 1 6 2 2 0.00181726
2022 2 1 1 6 2 3 0.00196249
2022 2 1 1 6 2 4 0.00126167
2022 2 1 1 6 2 5 0.00132399
2022 2 1 1 6 2 6 0.00100193
2022 2 1 1 6 2 7 0.000800539
2022 2 1 1 6 2 8 0.000673553
2022 2 1 1 6 3 1 0.00904031
2022 2 1 1 6 3 2 0.00600728
2022 2 1 1 6 3 3 0.00541387
2022 2 1 1 6 3 4 0.00507044
2022 2 1 1 6 3 5 0.00499023
2022 2 1 1 6 3 6 0.00438551
2022 2 1 1 6 3 7 0.00465401
2022 2 1 1 7 2 1 0.00213505
2022 2 1 1 7 2 2 0.00135231
2022 2 1 1 7 2 3 0.00144285
2022 2 1 1 7 2 4 0.00099054
2022 2 1 1 7 2 5 0.00103246
2022 2 1 1 7 2 6 0.000811538
2022 2 1 1 7 2 7 0.000667347
2022 2 1 1 7 2 8 0.00057353
2022 2 1 1 7 3 1 0.00519947
2022 2 1 1 7 3 2 0.00385987
2022 2 1 1 7 3 3 0.00355816
2022 2 1 1 7 3 4 0.00337784
2022 2 1 1 7 3 5 0.0033351
2022 2 1 1 7 3 6 0.00300538
2022 2 1 1 7 3 7 0.00315345
2022 2 1 1 8 2 1 0.00355944
2022 2 1 1 8 2 2 0.00247864
2022 2 1 1 8 2 3 0.00261296
2022 2 1 1 8 2 4 0.00191501
2022 2 1 1 8 2 5 0.00198266
2022 2 1 1 8 2 6 0.00161844
